,Year,Country of Origin (ISO),Country of Origin,Country of Asylum (ISO),Country of Asylum,Country of Resettlement (ISO),Country of Resettlement,Total submissions (persons),Country of Origin Coordinates,Country of Asylum Coordinates,Country of Resettlement Coordinates
0,2003,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,70,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
1,2003,COD,Dem. Rep. of the Congo,GAB,Gabon,SWE,Sweden,1,"[25.0, 0.0]","[11.75, -1.0]","[15.0, 62.0]"
2,2003,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,1,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
3,2003,SDN,Sudan,GIN,Guinea,NOR,Norway,1,"[30.0, 15.0]","[-10.0, 11.0]","[10.0, 62.0]"
4,2003,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,1,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
5,2003,SDN,Sudan,NGA,Nigeria,CAN,Canada,4,"[30.0, 15.0]","[8.0, 10.0]","[-95.0, 60.0]"
6,2003,COD,Dem. Rep. of the Congo,GHA,Ghana,AUS,Australia,1,"[25.0, 0.0]","[-2.0, 8.0]","[133.0, -27.0]"
7,2003,SDN,Sudan,GHA,Ghana,AUS,Australia,8,"[30.0, 15.0]","[-2.0, 8.0]","[133.0, -27.0]"
8,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,USA,United States of America,4,"[25.0, 0.0]","[-2.0, 8.0]","[-97.0, 38.0]"
9,2004,SDN,Sudan,GHA,Ghana,USA,United States of America,1,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
10,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[25.0, 0.0]","[-2.0, 8.0]","[-2.0, 54.0]"
11,2004,COD,Dem. Rep. of the Congo,GAB,Gabon,CAN,Canada,4,"[25.0, 0.0]","[11.75, -1.0]","[-95.0, 60.0]"
12,2004,SDN,Sudan,GHA,Ghana,GBR,United Kingdom of Great Britain and Northern Ireland,1,"[30.0, 15.0]","[-2.0, 8.0]","[-2.0, 54.0]"
13,2004,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,1,"[25.0, 0.0]","[-2.0, 8.0]","[-95.0, 60.0]"
14,2004,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,1,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
15,2005,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
16,2005,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,10,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
17,2005,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,5,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
18,2005,ERI,Eritrea,BFA,Burkina Faso,CAN,Canada,6,"[39.0, 15.0]","[-2.0, 13.0]","[-95.0, 60.0]"
19,2005,SDN,Sudan,NGA,Nigeria,USA,United States of America,1,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
20,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,32,"[25.0, 0.0]","[12.0, 6.0]","[-95.0, 60.0]"
21,2005,SDN,Sudan,CMR,Cameroon,CAN,Canada,2,"[30.0, 15.0]","[12.0, 6.0]","[-95.0, 60.0]"
22,2005,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,2,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
23,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,NLD,Netherlands,5,"[25.0, 0.0]","[12.0, 6.0]","[5.75, 52.5]"
24,2005,ERI,Eritrea,BFA,Burkina Faso,USA,United States of America,6,"[39.0, 15.0]","[-2.0, 13.0]","[-97.0, 38.0]"
25,2005,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,19,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
26,2005,SDN,Sudan,GHA,Ghana,USA,United States of America,7,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
27,2005,COD,Dem. Rep. of the Congo,NER,Niger,FIN,Finland,1,"[25.0, 0.0]","[8.0, 16.0]","[26.0, 64.0]"
28,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,FIN,Finland,3,"[25.0, 0.0]","[12.0, 6.0]","[26.0, 64.0]"
29,2006,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,18,"[25.0, 0.0]","[2.25, 9.5]","[133.0, -27.0]"
30,2006,IRN,Iran (Islamic Rep. of),TCD,Chad,NLD,Netherlands,3,"[53.0, 32.0]","[19.0, 15.0]","[5.75, 52.5]"
31,2006,SDN,Sudan,GHA,Ghana,AUS,Australia,25,"[30.0, 15.0]","[-2.0, 8.0]","[133.0, -27.0]"
32,2006,COD,Dem. Rep. of the Congo,BEN,Benin,USA,United States of America,5,"[25.0, 0.0]","[2.25, 9.5]","[-97.0, 38.0]"
33,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,10,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
34,2006,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,6,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
35,2006,COD,Dem. Rep. of the Congo,BEN,Benin,NOR,Norway,7,"[25.0, 0.0]","[2.25, 9.5]","[10.0, 62.0]"
36,2006,SDN,Sudan,CMR,Cameroon,USA,United States of America,1,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
37,2006,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,4,"[25.0, 0.0]","[-2.0, 8.0]","[-95.0, 60.0]"
38,2006,COD,Dem. Rep. of the Congo,BEN,Benin,NLD,Netherlands,4,"[25.0, 0.0]","[2.25, 9.5]","[5.75, 52.5]"
39,2006,COD,Dem. Rep. of the Congo,CMR,Cameroon,NOR,Norway,1,"[25.0, 0.0]","[12.0, 6.0]","[10.0, 62.0]"
40,2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,22,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
41,2006,SDN,Sudan,GHA,Ghana,CAN,Canada,14,"[30.0, 15.0]","[-2.0, 8.0]","[-95.0, 60.0]"
42,2006,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,1,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
43,2006,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,CAN,Canada,21,"[25.0, 0.0]","[-5.0, 8.0]","[-95.0, 60.0]"
44,2006,COD,Dem. Rep. of the Congo,SEN,Senegal,USA,United States of America,4,"[25.0, 0.0]","[-14.0, 14.0]","[-97.0, 38.0]"
45,2006,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,2,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
46,2006,SDN,Sudan,SEN,Senegal,USA,United States of America,1,"[30.0, 15.0]","[-14.0, 14.0]","[-97.0, 38.0]"
47,2007,SOM,Somalia,BEN,Benin,USA,United States of America,3,"[49.0, 10.0]","[2.25, 9.5]","[-97.0, 38.0]"
48,2007,SDN,Sudan,GHA,Ghana,CAN,Canada,13,"[30.0, 15.0]","[-2.0, 8.0]","[-95.0, 60.0]"
49,2007,COD,Dem. Rep. of the Congo,NER,Niger,USA,United States of America,23,"[25.0, 0.0]","[8.0, 16.0]","[-97.0, 38.0]"
50,2007,COD,Dem. Rep. of the Congo,BFA,Burkina Faso,USA,United States of America,1,"[25.0, 0.0]","[-2.0, 13.0]","[-97.0, 38.0]"
51,2007,SOM,Somalia,NER,Niger,FIN,Finland,2,"[49.0, 10.0]","[8.0, 16.0]","[26.0, 64.0]"
52,2007,AFG,Afghanistan,CIV,Cote d'Ivoire,CAN,Canada,6,"[65.0, 33.0]","[-5.0, 8.0]","[-95.0, 60.0]"
53,2007,SOM,Somalia,NER,Niger,USA,United States of America,1,"[49.0, 10.0]","[8.0, 16.0]","[-97.0, 38.0]"
54,2007,COD,Dem. Rep. of the Congo,NGA,Nigeria,NLD,Netherlands,3,"[25.0, 0.0]","[8.0, 10.0]","[5.75, 52.5]"
55,2007,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,USA,United States of America,83,"[25.0, 0.0]","[21.0, 7.0]","[-97.0, 38.0]"
56,2007,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,34,"[25.0, 0.0]","[2.25, 9.5]","[133.0, -27.0]"
57,2007,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,CAN,Canada,32,"[25.0, 0.0]","[-5.0, 8.0]","[-95.0, 60.0]"
58,2007,SDN,Sudan,NER,Niger,USA,United States of America,5,"[30.0, 15.0]","[8.0, 16.0]","[-97.0, 38.0]"
59,2007,SDN,Sudan,CAF,Central African Rep.,USA,United States of America,5,"[30.0, 15.0]","[21.0, 7.0]","[-97.0, 38.0]"
60,2007,COD,Dem. Rep. of the Congo,CMR,Cameroon,AUS,Australia,56,"[25.0, 0.0]","[12.0, 6.0]","[133.0, -27.0]"
61,2007,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,85,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
62,2007,SDN,Sudan,NGA,Nigeria,USA,United States of America,1,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
63,2007,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,73,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
64,2007,SDN,Sudan,CMR,Cameroon,AUS,Australia,1,"[30.0, 15.0]","[12.0, 6.0]","[133.0, -27.0]"
65,2007,SOM,Somalia,NGA,Nigeria,CAN,Canada,11,"[49.0, 10.0]","[8.0, 10.0]","[-95.0, 60.0]"
66,2007,COD,Dem. Rep. of the Congo,TGO,Togo,USA,United States of America,13,"[25.0, 0.0]","[1.1667, 8.0]","[-97.0, 38.0]"
67,2007,SDN,Sudan,CMR,Cameroon,USA,United States of America,1,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
68,2007,SOM,Somalia,GMB,Gambia,AUS,Australia,4,"[49.0, 10.0]","[-16.5667, 13.4667]","[133.0, -27.0]"
69,2007,SDN,Sudan,NGA,Nigeria,CAN,Canada,1,"[30.0, 15.0]","[8.0, 10.0]","[-95.0, 60.0]"
70,2007,COD,Dem. Rep. of the Congo,GAB,Gabon,USA,United States of America,7,"[25.0, 0.0]","[11.75, -1.0]","[-97.0, 38.0]"
71,2007,COD,Dem. Rep. of the Congo,NER,Niger,AUS,Australia,11,"[25.0, 0.0]","[8.0, 16.0]","[133.0, -27.0]"
72,2007,SDN,Sudan,GHA,Ghana,USA,United States of America,63,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
73,2007,SDN,Sudan,NER,Niger,AUS,Australia,5,"[30.0, 15.0]","[8.0, 16.0]","[133.0, -27.0]"
74,2007,AFG,Afghanistan,CIV,Cote d'Ivoire,USA,United States of America,8,"[65.0, 33.0]","[-5.0, 8.0]","[-97.0, 38.0]"
75,2007,COD,Dem. Rep. of the Congo,BEN,Benin,CAN,Canada,8,"[25.0, 0.0]","[2.25, 9.5]","[-95.0, 60.0]"
76,2007,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,5,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
77,2007,COD,Dem. Rep. of the Congo,BEN,Benin,USA,United States of America,20,"[25.0, 0.0]","[2.25, 9.5]","[-97.0, 38.0]"
78,2007,COD,Dem. Rep. of the Congo,GHA,Ghana,CAN,Canada,6,"[25.0, 0.0]","[-2.0, 8.0]","[-95.0, 60.0]"
79,2007,COD,Dem. Rep. of the Congo,MLI,Mali,USA,United States of America,26,"[25.0, 0.0]","[-4.0, 17.0]","[-97.0, 38.0]"
80,2008,SDN,Sudan,CMR,Cameroon,USA,United States of America,3,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
81,2008,COD,Dem. Rep. of the Congo,GMB,Gambia,USA,United States of America,1,"[25.0, 0.0]","[-16.5667, 13.4667]","[-97.0, 38.0]"
82,2008,SDN,Sudan,GMB,Gambia,USA,United States of America,1,"[30.0, 15.0]","[-16.5667, 13.4667]","[-97.0, 38.0]"
83,2008,ERI,Eritrea,GHA,Ghana,USA,United States of America,1,"[39.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
84,2008,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,NLD,Netherlands,8,"[25.0, 0.0]","[21.0, 7.0]","[5.75, 52.5]"
85,2008,SDN,Sudan,GHA,Ghana,USA,United States of America,167,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
86,2008,COD,Dem. Rep. of the Congo,MLI,Mali,USA,United States of America,7,"[25.0, 0.0]","[-4.0, 17.0]","[-97.0, 38.0]"
87,2008,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,USA,United States of America,12,"[25.0, 0.0]","[21.0, 7.0]","[-97.0, 38.0]"
88,2008,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,52,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
89,2008,COD,Dem. Rep. of the Congo,GMB,Gambia,NOR,Norway,1,"[25.0, 0.0]","[-16.5667, 13.4667]","[10.0, 62.0]"
90,2008,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,4,"[25.0, 0.0]","[12.0, 6.0]","[-95.0, 60.0]"
91,2008,SDN,Sudan,CAF,Central African Rep.,USA,United States of America,1,"[30.0, 15.0]","[21.0, 7.0]","[-97.0, 38.0]"
92,2008,SDN,Sudan,NGA,Nigeria,USA,United States of America,1,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
93,2008,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,2,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
94,2008,COD,Dem. Rep. of the Congo,TCD,Chad,USA,United States of America,6,"[25.0, 0.0]","[19.0, 15.0]","[-97.0, 38.0]"
95,2008,COD,Dem. Rep. of the Congo,CMR,Cameroon,AUS,Australia,43,"[25.0, 0.0]","[12.0, 6.0]","[133.0, -27.0]"
96,2008,SDN,Sudan,TCD,Chad,USA,United States of America,170,"[30.0, 15.0]","[19.0, 15.0]","[-97.0, 38.0]"
97,2008,SDN,Sudan,CMR,Cameroon,AUS,Australia,6,"[30.0, 15.0]","[12.0, 6.0]","[133.0, -27.0]"
98,2008,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,13,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
99,2009,COD,Dem. Rep. of the Congo,BEN,Benin,AUS,Australia,35,"[25.0, 0.0]","[2.25, 9.5]","[133.0, -27.0]"
100,2009,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,42,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
101,2009,SDN,Sudan,TCD,Chad,USA,United States of America,630,"[30.0, 15.0]","[19.0, 15.0]","[-97.0, 38.0]"
102,2009,COD,Dem. Rep. of the Congo,TCD,Chad,FRA,France,4,"[25.0, 0.0]","[19.0, 15.0]","[2.0, 46.0]"
103,2009,SOM,Somalia,NGA,Nigeria,CAN,Canada,1,"[49.0, 10.0]","[8.0, 10.0]","[-95.0, 60.0]"
104,2009,IRQ,Iraq,BEN,Benin,AUS,Australia,2,"[44.0, 33.0]","[2.25, 9.5]","[133.0, -27.0]"
105,2009,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,46,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
106,2009,SDN,Sudan,CMR,Cameroon,FRA,France,1,"[30.0, 15.0]","[12.0, 6.0]","[2.0, 46.0]"
107,2009,SDN,Sudan,NGA,Nigeria,CAN,Canada,8,"[30.0, 15.0]","[8.0, 10.0]","[-95.0, 60.0]"
108,2009,COD,Dem. Rep. of the Congo,CMR,Cameroon,AUS,Australia,29,"[25.0, 0.0]","[12.0, 6.0]","[133.0, -27.0]"
109,2009,ERI,Eritrea,CMR,Cameroon,USA,United States of America,2,"[39.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
110,2009,SDN,Sudan,CMR,Cameroon,USA,United States of America,4,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
111,2009,COD,Dem. Rep. of the Congo,GAB,Gabon,USA,United States of America,1,"[25.0, 0.0]","[11.75, -1.0]","[-97.0, 38.0]"
112,2009,SDN,Sudan,TCD,Chad,NLD,Netherlands,2,"[30.0, 15.0]","[19.0, 15.0]","[5.75, 52.5]"
113,2009,SDN,Sudan,GHA,Ghana,USA,United States of America,68,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
114,2009,COD,Dem. Rep. of the Congo,MLI,Mali,USA,United States of America,4,"[25.0, 0.0]","[-4.0, 17.0]","[-97.0, 38.0]"
115,2009,COD,Dem. Rep. of the Congo,SEN,Senegal,USA,United States of America,3,"[25.0, 0.0]","[-14.0, 14.0]","[-97.0, 38.0]"
116,2009,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,73,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
117,2009,SDN,Sudan,TCD,Chad,DNK,Denmark,6,"[30.0, 15.0]","[19.0, 15.0]","[10.0, 56.0]"
118,2009,SDN,Sudan,SEN,Senegal,USA,United States of America,2,"[30.0, 15.0]","[-14.0, 14.0]","[-97.0, 38.0]"
119,2009,SDN,Sudan,TCD,Chad,NOR,Norway,6,"[30.0, 15.0]","[19.0, 15.0]","[10.0, 62.0]"
120,2009,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,USA,United States of America,1,"[25.0, 0.0]","[21.0, 7.0]","[-97.0, 38.0]"
121,2009,SDN,Sudan,NGA,Nigeria,USA,United States of America,17,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
122,2009,COD,Dem. Rep. of the Congo,CMR,Cameroon,DNK,Denmark,3,"[25.0, 0.0]","[12.0, 6.0]","[10.0, 56.0]"
123,2009,COD,Dem. Rep. of the Congo,CMR,Cameroon,NOR,Norway,3,"[25.0, 0.0]","[12.0, 6.0]","[10.0, 62.0]"
124,2009,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,CAN,Canada,35,"[25.0, 0.0]","[21.0, 7.0]","[-95.0, 60.0]"
125,2009,SDN,Sudan,CAF,Central African Rep.,USA,United States of America,12,"[30.0, 15.0]","[21.0, 7.0]","[-97.0, 38.0]"
126,2009,COD,Dem. Rep. of the Congo,NGA,Nigeria,DNK,Denmark,5,"[25.0, 0.0]","[8.0, 10.0]","[10.0, 56.0]"
127,2009,COD,Dem. Rep. of the Congo,MLI,Mali,NOR,Norway,6,"[25.0, 0.0]","[-4.0, 17.0]","[10.0, 62.0]"
128,2009,SDN,Sudan,TCD,Chad,CAN,Canada,1,"[30.0, 15.0]","[19.0, 15.0]","[-95.0, 60.0]"
129,2009,COD,Dem. Rep. of the Congo,TCD,Chad,USA,United States of America,7,"[25.0, 0.0]","[19.0, 15.0]","[-97.0, 38.0]"
130,2010,COD,Dem. Rep. of the Congo,CMR,Cameroon,DNK,Denmark,3,"[25.0, 0.0]","[12.0, 6.0]","[10.0, 56.0]"
131,2010,SOM,Somalia,TCD,Chad,USA,United States of America,7,"[49.0, 10.0]","[19.0, 15.0]","[-97.0, 38.0]"
132,2010,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,NOR,Norway,3,"[25.0, 0.0]","[21.0, 7.0]","[10.0, 62.0]"
133,2010,SDN,Sudan,TCD,Chad,USA,United States of America,488,"[30.0, 15.0]","[19.0, 15.0]","[-97.0, 38.0]"
134,2010,COD,Dem. Rep. of the Congo,NGA,Nigeria,NOR,Norway,6,"[25.0, 0.0]","[8.0, 10.0]","[10.0, 62.0]"
135,2010,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,24,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
136,2010,SDN,Sudan,CMR,Cameroon,USA,United States of America,3,"[30.0, 15.0]","[12.0, 6.0]","[-97.0, 38.0]"
137,2010,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,CAN,Canada,36,"[25.0, 0.0]","[21.0, 7.0]","[-95.0, 60.0]"
138,2010,SDN,Sudan,GHA,Ghana,AUS,Australia,2,"[30.0, 15.0]","[-2.0, 8.0]","[133.0, -27.0]"
139,2010,AFG,Afghanistan,MLI,Mali,SWE,Sweden,2,"[65.0, 33.0]","[-4.0, 17.0]","[15.0, 62.0]"
140,2010,COD,Dem. Rep. of the Congo,GHA,Ghana,USA,United States of America,1,"[25.0, 0.0]","[-2.0, 8.0]","[-97.0, 38.0]"
141,2010,SDN,Sudan,CAF,Central African Rep.,CAN,Canada,1,"[30.0, 15.0]","[21.0, 7.0]","[-95.0, 60.0]"
142,2010,SDN,Sudan,GHA,Ghana,USA,United States of America,102,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
143,2010,COD,Dem. Rep. of the Congo,CMR,Cameroon,CAN,Canada,4,"[25.0, 0.0]","[12.0, 6.0]","[-95.0, 60.0]"
144,2010,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,NLD,Netherlands,1,"[25.0, 0.0]","[21.0, 7.0]","[5.75, 52.5]"
145,2010,COD,Dem. Rep. of the Congo,CIV,Cote d'Ivoire,USA,United States of America,9,"[25.0, 0.0]","[-5.0, 8.0]","[-97.0, 38.0]"
146,2010,SDN,Sudan,CAF,Central African Rep.,NLD,Netherlands,8,"[30.0, 15.0]","[21.0, 7.0]","[5.75, 52.5]"
147,2010,COD,Dem. Rep. of the Congo,MLI,Mali,USA,United States of America,15,"[25.0, 0.0]","[-4.0, 17.0]","[-97.0, 38.0]"
148,2010,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,5,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
149,2010,COD,Dem. Rep. of the Congo,CAF,Central African Rep.,USA,United States of America,30,"[25.0, 0.0]","[21.0, 7.0]","[-97.0, 38.0]"
150,2010,SOM,Somalia,NGA,Nigeria,USA,United States of America,1,"[49.0, 10.0]","[8.0, 10.0]","[-97.0, 38.0]"
151,2010,SDN,Sudan,CAF,Central African Rep.,USA,United States of America,5,"[30.0, 15.0]","[21.0, 7.0]","[-97.0, 38.0]"
152,2010,SDN,Sudan,NGA,Nigeria,USA,United States of America,9,"[30.0, 15.0]","[8.0, 10.0]","[-97.0, 38.0]"
153,2011,COD,Dem. Rep. of the Congo,TCD,Chad,USA,United States of America,1,"[25.0, 0.0]","[19.0, 15.0]","[-97.0, 38.0]"
154,2011,SDN,Sudan,TCD,Chad,DNK,Denmark,5,"[30.0, 15.0]","[19.0, 15.0]","[10.0, 56.0]"
155,2011,SDN,Sudan,TCD,Chad,USA,United States of America,196,"[30.0, 15.0]","[19.0, 15.0]","[-97.0, 38.0]"
156,2011,SDN,Sudan,TCD,Chad,NZL,New Zealand,6,"[30.0, 15.0]","[19.0, 15.0]","[174.0, -41.0]"
157,2011,SDN,Sudan,TCD,Chad,NOR,Norway,2,"[30.0, 15.0]","[19.0, 15.0]","[10.0, 62.0]"
158,2011,COD,Dem. Rep. of the Congo,CMR,Cameroon,USA,United States of America,11,"[25.0, 0.0]","[12.0, 6.0]","[-97.0, 38.0]"
159,2011,COD,Dem. Rep. of the Congo,NGA,Nigeria,NOR,Norway,20,"[25.0, 0.0]","[8.0, 10.0]","[10.0, 62.0]"
160,2011,SDN,Sudan,GHA,Ghana,USA,United States of America,43,"[30.0, 15.0]","[-2.0, 8.0]","[-97.0, 38.0]"
161,2011,COD,Dem. Rep. of the Congo,NGA,Nigeria,USA,United States of America,9,"[25.0, 0.0]","[8.0, 10.0]","[-97.0, 38.0]"
162,2011,SOM,Somalia,NGA,Nigeria,USA,United States of America,2,"[49.0, 10.0]","[8.0, 10.0]","[-97.0, 38.0]"
163,2011,SDN,Sudan,TCD,Chad,CAN,Canada,1,"[30.0, 15.0]","[19.0, 15.0]","[-95.0, 60.0]"
164,2011,COD,Dem. Rep. of the Congo,NGA,Nigeria,CAN,Canada,1,"[25.0, 0.0]","[8.0, 10.0]","[-95.0, 60.0]"
